"","State","County","Hispanic","White","Black","Asian","Native","Pacific","Income","TotalPop","Men","Women","Citizen","hospital_count","population_hospital_ratio"
"1972","Oklahoma","washita",8.4,84.4,0,0.05,0.9,0,49055.5,11649,5832,5817,8407,1,11649
"1973","Oklahoma","woods",6.1,86.8,2.5,0.4,1.3,0,56558,9033,4911,4122,7131,1,9033
"1974","Oklahoma","woodward",14.4,78.7,0.1,0,1.1,0,55234,20986,11172,9814,15081,1,20986
"1975","Oregon","baker",3.25,92.85,0.15,0.7,1.15,0.15,38396.5,16052,8163,7889,12727,2,8026
"1976","Oregon","benton",5.3,82.5,0.4,6.15,0.45,0,51270,86495,43624,42871,66626,9,9610.55555555555
"1977","Oregon","clackamas",6.7,84.75,0.35,1.9,0.2,0,69038,389438,191639,197799,287833,3,129812.666666667
"1978","Oregon","clatsop",7.3,86.5,0.7,0.8,0.2,0,47396,37382,18526,18856,28639,2,18691
"1979","Oregon","columbia",4,90.65,0.55,1.05,1.2,0.05,53681.5,49389,24694,24695,37372,9,5487.66666666667
"1980","Oregon","coos",4.6,88.7,0.4,1,2.4,0,40764,62775,30828,31947,49878,6,10462.5
"1981","Oregon","crook",7.15,88.85,0,0.15,0.7,0.05,37107.5,20956,10352,10604,16560,2,10478
"1982","Oregon","curry",5.9,89.8,0,0.6,0.7,0,39113,22338,10878,11460,18554,2,11169
"1983","Oregon","deschutes",6.15,89.6,0.1,0.65,0.55,0,55385.5,166622,82129,84493,126233,2,83311
"1984","Oregon","douglas",5.35,87.65,0,0.7,1.1,0,41754,107194,52932,54262,84842,21,5104.47619047619
"1985","Oregon","grant",2.95,92.95,0.25,0.6,0.9,0,35372,7276,3594,3682,5886,16,454.75
"1986","Oregon","harney",4.1,88.65,0.65,0.8,3.1,0.1,38240,7229,3632,3597,5636,1,7229
"1987","Oregon","hood river",25,69.9,0.55,1.2,0.5,0,57184,22749,11326,11423,14497,1,22749
"1988","Oregon","jackson",9.5,83.6,0.2,0.9,0.4,0,44123,208363,101395,106968,157297,32,6511.34375
"1989","Oregon","jefferson",16.55,68.7,1.15,0.2,3.95,0.1,47298,22061,11313,10748,15815,47,469.382978723404
"1990","Oregon","josephine",6.8,87.35,0.05,0.45,1,0,40718.5,83409,40834,42575,65500,1,83409
"1991","Oregon","klamath",8.95,81.65,0.5,0.55,2.3,0,42185,65972,32815,33157,50048,1,65972
"1992","Oregon","lake",6.75,86.95,0.45,0.45,0.85,0,32499,7842,4201,3641,6194,27,290.444444444444
"1993","Oregon","lane",6.35,85.2,0.5,1.3,0.75,0,44120,357060,175470,181590,275884,6,59510
"1994","Oregon","lincoln",5.7,86.2,0,0.7,1.4,0,44063,46347,22551,23796,36713,26,1782.57692307692
"1995","Oregon","linn",6.9,89.2,0.2,0.8,1.3,0,50239,118971,58803,60168,88205,5,23794.2
"1996","Oregon","malheur",30.8,66.2,0.4,1.5,0.1,0,42132,30551,16697,13854,20456,1,30551
"1997","Oregon","marion",19.7,74.4,0.55,1.45,0.5,0,50062,323259,160907,162352,212708,28,11544.9642857143
"1998","Oregon","morrow",24.7,71.6,0.3,0.6,0.4,0.15,50572,11204,5800,5404,6668,2,5602
